Class,subClass,concept_id,concept_name,concept_label,concept_index,attribute_concept_id,attribute_concept_name,modifier_concept_id,modifier_concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,concept_symbol,concept_units,original_request,concept_group
CANCER TYPE,ICD10,35206419,"C85.74 Other specified types of non-Hodgkin's lymphoma, lymph nodes of axilla and upper limb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206420,"C85.75 Other specified types of non-Hodgkin's lymphoma, lymph nodes of inguinal region and lower limb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206421,"C85.76 Other specified types of non-Hodgkin's lymphoma, intrapelvic lymph nodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206422,"C85.77 Other specified types of non-Hodgkin's lymphoma, spleen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206423,"C85.78 Other specified types of non-Hodgkin's lymphoma, lymph nodes of multiple sites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206424,"C85.79 Other specified types of non-Hodgkin's lymphoma, extranodal and solid organ sites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567671,C85.8 Other specified types of non-Hodgkin lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561866,"C85.80 Other specified types of non-Hodgkin lymphoma, unspecified site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45557035,"C85.81 Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45566642,"C85.82 Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45566643,"C85.83 Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45566644,"C85.84 Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45576363,"C85.85 Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45586058,"C85.86 Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45537869,"C85.87 Other specified types of non-Hodgkin lymphoma, spleen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45576364,"C85.88 Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45566645,"C85.89 Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567672,"C85.9 Non-Hodgkin lymphoma, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45590959,"C85.90 Non-Hodgkin lymphoma, unspecified, unspecified site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45557036,"C85.91 Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547549,"C85.92 Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45600559,"C85.93 Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561868,"C85.94 Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547550,"C85.95 Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45600560,"C85.96 Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45537870,"C85.97 Non-Hodgkin lymphoma, unspecified, spleen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45576365,"C85.98 Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45590960,"C85.99 Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567673,C86 Other specified types of T/NK-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,920116,"C86.0 Extranodal NK/T-cell lymphoma, nasal type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,920117,C86.1 Hepatosplenic T-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,920118,C86.2 Enteropathy-type (intestinal) T-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,920119,C86.3 Subcutaneous panniculitis-like T-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,920120,C86.4 Blastic NK-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,920121,C86.5 Angioimmunoblastic T-cell lymphoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,920122,C86.6 Primary cutaneous CD30-positive T-cell proliferations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567674,C88 Malignant immunoproliferative diseases and certain other B-cell lymphomas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206425,C88.0 Waldenstrom macroglobulinemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206426,C88.1 Alpha heavy chain disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206427,C88.2 Heavy chain disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206428,C88.3 Immunoproliferative small intestinal disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,920123,C88.4 Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206429,C88.7 Other malignant immunoproliferative diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547551,C88.8 Other malignant immunoproliferative diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206430,"C88.9 Malignant immunoproliferative disease, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567675,C90 Multiple myeloma and malignant plasma cell neoplasms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567676,C90.0 Multiple myeloma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45605329,C90.00 Multiple myeloma not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45581251,C90.01 Multiple myeloma in remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45600563,C90.02 Multiple myeloma in relapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567677,C90.1 Plasma cell leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45557038,C90.10 Plasma cell leukemia not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45595716,C90.11 Plasma cell leukemia in remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45595717,C90.12 Plasma cell leukemia in relapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567678,C90.2 Extramedullary plasmacytoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45542660,C90.20 Extramedullary plasmacytoma not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45605330,C90.21 Extramedullary plasmacytoma in remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45586060,C90.22 Extramedullary plasmacytoma in relapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567679,C90.3 Solitary plasmacytoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45537872,C90.30 Solitary plasmacytoma not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45590963,C90.31 Solitary plasmacytoma in remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45571567,C90.32 Solitary plasmacytoma in relapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567680,C91 Lymphoid leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567681,C91.0 Acute lymphoblastic leukemia [ALL],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45557039,C91.00 Acute lymphoblastic leukemia not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45557040,"C91.01 Acute lymphoblastic leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45566647,"C91.02 Acute lymphoblastic leukemia, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567682,C91.1 Chronic lymphocytic leukemia of B-cell type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45571568,C91.10 Chronic lymphocytic leukemia of B-cell type not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561871,C91.11 Chronic lymphocytic leukemia of B-cell type in remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45581253,C91.12 Chronic lymphocytic leukemia of B-cell type in relapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206431,"C91.20 Subacute lymphocytic leukemia, not in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206432,"C91.21 Subacute lymphocytic leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567683,C91.3 Prolymphocytic leukemia of B-cell type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45532958,C91.30 Prolymphocytic leukemia of B-cell type not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45571569,"C91.31 Prolymphocytic leukemia of B-cell type, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45552311,"C91.32 Prolymphocytic leukemia of B-cell type, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567684,C91.4 Hairy cell leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45590964,C91.40 Hairy cell leukemia not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45542662,"C91.41 Hairy cell leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561872,"C91.42 Hairy cell leukemia, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567685,C91.5 Adult T-cell lymphoma/leukemia (HTLV-1-associated),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561873,C91.50 Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45552313,"C91.51 Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45586063,"C91.52 Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567686,C91.6 Prolymphocytic leukemia of T-cell type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45537874,C91.60 Prolymphocytic leukemia of T-cell type not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45586064,"C91.61 Prolymphocytic leukemia of T-cell type, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45595718,"C91.62 Prolymphocytic leukemia of T-cell type, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206433,"C91.70 Other lymphoid leukemia, not in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206434,"C91.71 Other lymphoid leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567688,"C91.9 Lymphoid leukemia, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45595719,"C91.90 Lymphoid leukemia, unspecified not having achieved remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547552,"C91.91 Lymphoid leukemia, unspecified, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45586065,"C91.92 Lymphoid leukemia, unspecified, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45566648,C91.A Mature B-cell leukemia Burkitt-type,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45590965,C91.A0 Mature B-cell leukemia Burkitt-type not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45537875,"C91.A1 Mature B-cell leukemia Burkitt-type, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547553,"C91.A2 Mature B-cell leukemia Burkitt-type, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567687,C91.Z Other lymphoid leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45595720,C91.Z0 Other lymphoid leukemia not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45542664,"C91.Z1 Other lymphoid leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45576366,"C91.Z2 Other lymphoid leukemia, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567689,C92 Myeloid leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567690,C92.0 Acute myeloblastic leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547554,"C92.00 Acute myeloblastic leukemia, not having achieved remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45581255,"C92.01 Acute myeloblastic leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45532959,"C92.02 Acute myeloblastic leukemia, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567691,"C92.1 Chronic myeloid leukemia, BCR/ABL-positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45576368,"C92.10 Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45595721,"C92.11 Chronic myeloid leukemia, BCR/ABL-positive, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547555,"C92.12 Chronic myeloid leukemia, BCR/ABL-positive, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567692,"C92.2 Atypical chronic myeloid leukemia, BCR/ABL-negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561875,"C92.20 Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45586066,"C92.21 Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547556,"C92.22 Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567693,C92.3 Myeloid sarcoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45532960,"C92.30 Myeloid sarcoma, not having achieved remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45552314,"C92.31 Myeloid sarcoma, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45595722,"C92.32 Myeloid sarcoma, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567694,C92.4 Acute promyelocytic leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45532961,"C92.40 Acute promyelocytic leukemia, not having achieved remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45547557,"C92.41 Acute promyelocytic leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45605331,"C92.42 Acute promyelocytic leukemia, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567695,C92.5 Acute myelomonocytic leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45557043,"C92.50 Acute myelomonocytic leukemia, not having achieved remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45595723,"C92.51 Acute myelomonocytic leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561876,"C92.52 Acute myelomonocytic leukemia, in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567696,C92.6 Acute myeloid leukemia with 11q23-abnormality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561877,C92.60 Acute myeloid leukemia with 11q23-abnormality not having achieved remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45586067,C92.61 Acute myeloid leukemia with 11q23-abnormality in remission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45532962,C92.62 Acute myeloid leukemia with 11q23-abnormality in relapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206435,"C92.70 Other myeloid leukemia, not in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206436,"C92.71 Other myeloid leukemia, in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567698,"C92.9 Myeloid leukemia, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45561879,"C92.90 Myeloid leukemia, unspecified, not having achieved remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45576369,"C92.91 Myeloid leukemia, unspecified in remission",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,45571573,"C92.92 Myeloid leukemia, unspecified in relapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
